province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
bali,2018,27.287625418060202,79.91638795986623,7.121010097545977,6.658267752328325,3.3843902633457743,4.736198448394496,5.762051382780177,27.53472222222222,27.611842105263158,26.004225352112677,27.89625,667069060,6011,110978.37,2180.728459413206,6.41657477660225e-05,0,True,False,False,True,False,False,False,False,False
bali,2019,27.310903426791274,79.35514018691589,6.862548686144057,6.600006544380042,4.280824129164719,4.097672352314775,4.513054897080286,27.93076923076923,27.060000000000002,25.73589743589744,28.423529411764704,579320530,6078,95319.34,2167.260570064343,7.199534412873719e-05,0,True,False,False,True,False,False,False,False,False
bali,2020,27.7748031496063,80.78740157480316,7.113223538616339,6.380292014063123,5.450179715857283,2.1041341542702074,5.991464547107982,28.26891891891892,27.87042253521127,26.879591836734694,27.783333333333335,532168450,5849,90980.69,2243.8541757083517,7.818388207249802e-05,0,True,False,False,True,False,False,False,False,False
banten,2018,27.553232949512843,80.39946855624446,8.871828055807077,7.955951081736231,7.667205048796146,5.038898759369115,7.594582530797263,26.947648902821314,27.797643097643096,27.495495495495497,28.01168384879725,1687783300,4894,344836.06,2215.2652861472366,2.5727669129353233e-05,1,True,False,False,False,True,False,False,False,False
banten,2019,27.85435483870968,78.43548387096774,8.771633839088212,8.087363666855456,7.514963234864426,4.775756486563625,7.126649816006932,27.294171779141102,28.077460317460318,27.629065743944636,28.426774193548386,1470503350,4842,303731.8,2184.7697996878255,2.887953727202557e-05,1,True,False,False,False,True,False,False,False,False
banten,2020,27.61764199655766,82.20051635111876,9.235822916390681,8.628215647992365,7.452460454181805,6.286742696181391,7.788418833213141,27.27333333333333,28.11,27.713675213675213,27.480528052805283,1655170090,5088,325333.24,2270.184432517382,2.8388808091379758e-05,1,True,False,False,False,True,False,False,False,False
bengkulu,2018,25.577341772151897,85.84810126582279,9.017810891154786,7.678465171489873,7.488741092653752,6.8414017784321155,8.121718017337422,25.42455357142857,25.9726368159204,25.364666666666665,25.515348837209302,288810520,4383,65891.16,2195.766226566255,0.00013685919157875188,0,True,False,False,False,False,False,False,False,True
bengkulu,2019,26.050865051903113,85.19607843137256,8.72891172506098,7.855932199718614,7.600252248200496,6.473736363455911,6.861082870783706,26.018942731277534,26.60372093023256,25.705714285714286,25.868837209302328,296472070,4603,64406.86,2219.43154216704,0.000135527670867757,0,True,False,False,False,False,False,False,False,True
bengkulu,2020,26.105148005148006,85.53539253539253,9.323829758655743,8.040768994367578,7.931248828433305,7.078847353824543,8.32610532254216,26.332673267326733,26.463768115942027,26.082236842105264,25.564814814814813,292834040,4566,64137.28,2232.914081814854,0.00014537301483945081,0,True,False,False,False,False,False,False,False,True
di yogyakarta,2018,25.990925266903915,82.32918149466192,8.14392418152439,7.4819499903647895,6.236565265774234,3.173878458937465,7.034123577796944,26.02074074074074,26.412000000000003,24.724999999999998,26.7354609929078,514935490,5481,93956.45,2139.811603513127,8.667764885388511e-05,1,True,False,False,False,True,False,False,False,False
di yogyakarta,2019,26.00694214876033,81.97190082644629,8.119100837637486,7.756452160283048,6.023447592961033,1.410986973710262,6.40902290290353,26.232467532467535,26.115,24.69551282051282,27.005161290322583,533477400,4786,111477.36,2131.838482617308,7.283183632003096e-05,1,True,False,False,False,True,False,False,False,False
di yogyakarta,2020,26.5096837944664,84.8498023715415,8.548730617414394,7.754395780499191,7.003792467179079,4.571613402459248,7.398725074036778,26.69333333333333,26.65839416058394,25.910344827586204,26.541666666666668,523395950,4735,110548.12,2249.3414308925303,7.733040251287033e-05,1,True,False,False,False,True,False,False,False,False
dki jakarta,2018,28.197822445561137,76.46398659966499,8.341553262745995,7.645684602313976,6.6237995882711695,5.25227342804663,7.058070039641005,27.365760869565218,28.566451612903226,28.375999999999998,28.692405063291137,4899140,7276,673.37,2156.1179176171195,0.012387770674173617,1,True,False,False,False,True,False,False,False,False
dki jakarta,2019,28.69271255060729,75.0748987854251,7.945980417635152,7.473409939026806,5.922918004572872,0.0,6.539730453847818,28.104794520547948,29.21034482758621,28.553508771929824,29.04576271186441,3359310,5396,622.59,2154.1024906161388,0.012762781750441437,1,True,False,False,False,True,False,False,False,False
dki jakarta,2020,28.565509259259258,78.45138888888889,8.45718837747921,8.036120525799594,6.155070385705995,5.62618122863265,6.771362654076582,27.925,29.166666666666668,29.059756097560978,28.4704,4543930,4969,914.51,2241.0038757073044,0.009247781090421535,1,True,False,False,False,True,False,False,False,False
gorontalo,2018,27.484579439252336,80.8411214953271,7.088826053874439,6.296372400224832,6.06331998420841,4.160444363926624,5.10594547390058,27.14423076923077,27.376470588235293,27.71698113207547,27.79512195121951,269540400,4760,56631.64,2221.8842256965672,0.00012517430278591077,0,True,False,False,False,False,False,False,True,False
gorontalo,2019,27.65862068965517,79.46743295019157,6.585619778460977,4.628886712605407,5.985697952213645,3.624340932976365,5.247024072160486,27.26984126984127,27.765671641791045,27.4,28.175757575757576,231211110,4718,49009.95,2197.9595851499535,0.0001343731176448302,0,True,False,False,False,False,False,False,True,False
gorontalo,2020,27.50180995475113,84.63348416289593,6.881000541673317,5.420977379283924,5.557599964478119,5.345677937907874,5.640487624283887,27.69464285714286,27.413636363636364,26.95952380952381,27.70253164556962,227627200,4675,48686.34,2327.5739972564033,0.0001413332885622535,0,True,False,False,False,False,False,False,True,False
jambi,2018,25.96173076923077,85.27307692307693,8.638472330795997,7.403913865704724,7.217590156075051,6.512190995551235,7.585179499076846,25.68378378378378,26.352845528455287,26.015463917525775,25.88157894736842,383045740,4444,86202.68,2213.8366649408285,0.00010021118055487237,0,True,False,False,False,False,False,False,False,True
jambi,2019,26.077368421052633,84.07894736842105,8.55885323467553,7.4561656630753985,7.453330095074946,5.985194934094387,7.216782905453296,25.364028776978415,26.4,26.818446601941748,25.91176470588235,309932680,4457,69536.06,2192.5576869806096,0.00012308510481388619,0,True,False,False,False,False,False,False,False,True
jambi,2020,26.894375,85.04791666666667,8.572722501208718,6.99365770798284,7.151407090927697,6.864012356034218,7.583603694963753,26.900813008130083,27.154263565891473,26.55360824742268,26.88473282442748,386413490,4558,84772.93,2287.3105638020834,0.00010112570722986054,0,True,False,False,False,False,False,False,False,True
jawa barat,2018,24.97202034883721,78.77616279069767,9.385419096000552,8.606576752550923,7.889609007040051,6.392084603552947,8.065390908099708,24.56684931506849,25.171594202898554,24.75266272189349,25.4390243902439,9647358750,5651,1707253.81,1967.1999402126148,5.497377742531193e-06,1,True,False,False,False,True,False,False,False,False
jawa barat,2019,25.369965156794425,77.0,9.259397167263046,8.289740368513929,7.994429930077204,6.219396615153989,8.024927593171157,24.74929178470255,25.323460410557182,25.06236263736264,26.29018567639257,9084957220,5754,1578835.7,1953.4873170731707,5.864699643670585e-06,1,True,False,False,False,True,False,False,False,False
jawa barat,2020,25.22738955823293,83.46265060240964,9.559559590943534,8.713828482849651,8.017373446826781,6.757513615651594,8.343411069639751,24.82431693989071,25.481159420289856,25.61216730038023,25.15764705882353,9016772580,5682,1586888.63,2105.544800309672,6.024089788130433e-06,1,True,False,False,False,True,False,False,False,False
jawa tengah,2018,28.054508856682766,75.82850241545894,8.974542086203725,8.327847019685318,7.15030922381617,4.428433007488037,7.785970242004062,27.27916666666667,28.59408099688474,27.722653721682846,28.625333333333334,10499588230,5763,1821983.17,2127.3313926034834,4.9256997726024375e-06,1,True,False,False,False,True,False,False,False,False
