province,year,avg_temperature,avg_humidity,total_rainfall,production,productivity,harvest_area
bali,2018,27.287625418060202,79.91638795986623,1236.7,667069060,6011,110978.37
bali,2019,27.310903426791274,79.35514018691589,954.8,579320530,6078,95319.34
bali,2020,27.7748031496063,80.78740157480316,1227.1,532168450,5849,90980.69
banten,2018,27.553232949512843,80.39946855624446,7127.3,1687783300,4894,344836.06
banten,2019,27.85435483870968,78.43548387096774,6447.7,1470503350,4842,303731.8
banten,2020,27.61764199655766,82.20051635111876,10257.1,1655170090,5088,325333.24
bengkulu,2018,25.577341772151897,85.84810126582279,8247.7,288810520,4383,65891.16
bengkulu,2019,26.050865051903113,85.19607843137256,6178.0,296472070,4603,64406.86
bengkulu,2020,26.105148005148006,85.53539253539253,11200.8,292834040,4566,64137.28
di yogyakarta,2018,25.990925266903915,82.32918149466192,3441.4,514935490,5481,93956.45
di yogyakarta,2019,26.00694214876033,81.97190082644629,3357.0,533477400,4786,111477.36
di yogyakarta,2020,26.5096837944664,84.8498023715415,5159.2,523395950,4735,110548.12
dki jakarta,2018,28.197822445561137,76.46398659966499,4193.6,4899140,7276,673.37
dki jakarta,2019,28.69271255060729,75.0748987854251,2823.2,3359310,5396,622.59
dki jakarta,2020,28.565509259259258,78.45138888888889,4707.8,4543930,4969,914.51
gorontalo,2018,27.484579439252336,80.8411214953271,1197.5,269540400,4760,56631.64
gorontalo,2019,27.65862068965517,79.46743295019157,723.6,231211110,4718,49009.95
gorontalo,2020,27.50180995475113,84.63348416289593,972.6,227627200,4675,48686.34
jambi,2018,25.96173076923077,85.27307692307693,5643.7,383045740,4444,86202.68
jambi,2019,26.077368421052633,84.07894736842105,5211.7,309932680,4457,69536.06
jambi,2020,26.894375,85.04791666666667,5284.5,386413490,4558,84772.93
jawa barat,2018,24.97202034883721,78.77616279069767,11912.4,9647358750,5651,1707253.81
jawa barat,2019,25.369965156794425,77.0,10501.8,9084957220,5754,1578835.7
jawa barat,2020,25.22738955823293,83.46265060240964,14178.6,9016772580,5682,1586888.63
jawa tengah,2018,28.054508856682766,75.82850241545894,7898.4,10499588230,5763,1821983.17
jawa tengah,2019,28.273142414860683,74.84520123839009,6224.1,9655653980,5753,1678479.21
jawa tengah,2020,28.19433962264151,79.94264150943397,12843.9,9489164620,5693,1666931.49
jawa timur,2018,26.920485282418458,78.37867939538584,17063.8,10203213170,5826,1751191.67
jawa timur,2019,27.031704980842914,77.26117496807151,17988.6,9580933880,5628,1702426.36
jawa timur,2020,26.91946812137743,80.81588816911012,24734.9,9944538260,5668,1754380.3
kalimantan barat,2018,27.00208239022182,85.1842462652784,26107.2,799715210,2792,286476.03
kalimantan barat,2019,27.127172413793105,84.85563218390804,23709.2,847875130,2923,290048.44
kalimantan barat,2020,27.142540687160942,86.123869801085,27623.9,778170360,3033,256575.43
kalimantan selatan,2018,26.830669546436287,83.8207343412527,3636.2,1327492410,4109,323091.21
kalimantan selatan,2019,27.258362989323846,81.31316725978648,3076.2,1342861820,3770,356245.95
kalimantan selatan,2020,27.413960113960112,84.02849002849003,3985.6,1150306660,3969,289836.35
kalimantan tengah,2018,26.913818860877686,85.3062558356676,11765.6,514769050,3488,147571.69
kalimantan tengah,2019,27.143432574430822,84.46584938704028,10439.7,443561330,3035,146144.51
kalimantan tengah,2020,27.17109375,86.41953125,14877.9,457952000,3196,143275.05
kalimantan timur,2018,27.384552845528454,85.19047619047619,6529.7,262773880,4045,64961.16
kalimantan timur,2019,27.579041916167665,84.1125748502994,5284.5,253818370,3641,69707.75
kalimantan timur,2020,27.430082417582415,86.8282967032967,7324.3,262434520,3567,73568.44
kalimantan utara,2018,27.41187150837989,84.54608938547486,7831.9,45063530,3288,13707.0
kalimantan utara,2019,27.770728476821194,83.14834437086093,7610.5,33357190,3240,10294.7
kalimantan utara,2020,27.609656925031764,84.82337992376112,8040.5,33574280,3397,9883.05
lampung,2018,26.84012738853503,84.21019108280255,1751.7,2488641910,4861,511940.93
lampung,2019,27.256626506024098,81.32228915662651,3128.4,2164089330,4663,464103.42
lampung,2020,27.25822306238185,84.79962192816635,6484.3,2650289640,4862,545149.05
maluku,2018,26.974131944444444,85.33420138888889,10135.4,116228860,4001,29052.14
maluku,2019,26.895684803001874,85.36960600375235,8447.8,98254750,3782,25976.85
maluku,2020,27.421144674085852,85.55405405405405,12063.2,110447300,3853,28668.22
maluku utara,2018,26.937060998151573,84.45656192236599,6865.0,49047110,3657,13412.75
maluku utara,2019,26.876705141657922,83.69150052465898,4510.5,37945640,3243,11700.5
maluku utara,2020,26.812198221092757,87.12325285895807,5696.2,43382850,4211,10301.91
nusa tenggara barat,2018,27.1890243902439,79.16260162601625,3091.4,1460338810,5049,289242.59
nusa tenggara barat,2019,27.080183276059564,78.17754868270332,3251.5,1402182390,4978,281666.04
nusa tenggara barat,2020,27.44083832335329,80.03952095808383,3905.1,1317189810,4817,273460.82
nusa tenggara timur,2018,26.989098173515984,80.33162100456622,10730.2,899935880,4124,218232.91
nusa tenggara timur,2019,26.915501263689976,78.832350463353,10974.4,811724180,4082,198867.41
nusa tenggara timur,2020,27.3680052956752,79.81862312444837,12787.6,725024300,3990,181690.63
papua,2018,25.473570398846707,84.61364728495916,22775.5,223119420,4257,52411.95
papua,2019,26.661511685728495,84.25459970164097,21639.5,235339510,4348,54131.72
papua,2020,25.954761904761906,83.84033613445378,24173.6,166002300,3148,52727.52
papua barat,2018,26.72466281310212,85.52023121387283,9292.7,24967130,3215,7767.01
papua barat,2019,26.73022861981372,84.73497036409822,10262.5,29943560,4163,7192.15
papua barat,2020,27.066992665036672,84.37408312958435,11533.2,24378330,3220,7570.63
riau,2018,26.94251012145749,84.32388663967612,4034.2,266375530,3728,71448.08
riau,2019,27.286305278174037,83.15977175463624,3942.3,230873970,3656,63142.04
riau,2020,27.148628428927683,83.66583541147132,6445.8,243685040,3764,64733.13
sulawesi barat,2018,27.74493670886076,79.79746835443038,1560.1,316478370,4846,65303.78
sulawesi barat,2019,27.903343465045594,78.38297872340425,881.9,300142220,4796,62581.47
sulawesi barat,2020,27.847337278106508,80.35502958579882,956.1,345050370,5323,64826.18
sulawesi selatan,2018,26.359017595307915,81.02346041055719,14053.1,5952616450,5021,1185484.1
sulawesi selatan,2019,26.624911284599005,78.36195883605394,9933.6,5054166960,5003,1010188.75
sulawesi selatan,2020,26.51532447224394,82.85379202501954,15131.8,4708464970,4823,976258.14
sulawesi tengah,2018,27.32672064777328,82.41902834008097,2720.5,926978660,4605,201279.24
sulawesi tengah,2019,27.487418936446172,80.68093385214007,4040.1,844904300,4540,186100.44
sulawesi tengah,2020,27.49266802443992,81.74541751527495,3621.8,792248840,4449,178066.94
sulawesi tenggara,2018,27.44496124031008,82.07364341085271,6739.9,538876140,3943,136673.75
sulawesi tenggara,2019,27.26087388282026,81.87388282025819,6067.7,519706930,3927,132343.86
sulawesi tenggara,2020,27.405077720207256,84.27668393782383,8009.6,532773490,3985,133697.15
sulawesi utara,2018,26.87541899441341,81.12609736632083,10840.2,326929740,4647,70352.62
sulawesi utara,2019,26.70068306010929,79.95218579234972,8736.2,277776310,4479,62020.39
sulawesi utara,2020,26.63544034090909,83.49076704545455,12833.0,248879480,4025,61827.86
sumatera barat,2018,26.204545454545453,85.98484848484848,10409.5,1483076480,4737,313050.82
sumatera barat,2019,26.493163538873997,85.31635388739946,8234.0,1482996010,4758,311671.23
sumatera barat,2020,26.50809018567639,85.20026525198939,12647.3,1387269290,4692,295664.47
sumatera selatan,2018,27.265940594059405,85.31485148514851,4437.5,2994191840,5148,581574.61
sumatera selatan,2019,27.672968197879857,83.3851590106007,4121.7,2603396240,4827,539316.52
sumatera selatan,2020,27.39034749034749,84.81467181467181,5134.0,2743059680,4975,551320.76
sumatera utara,2018,26.5925704989154,85.30477223427332,18657.6,2108284720,5165,408176.45
sumatera utara,2019,26.97647593097184,84.90099909173479,19605.2,2078901590,5032,413141.24
sumatera utara,2020,26.958211953792066,85.11903566047212,20078.8,2040500190,5251,388591.22
